variable,source,horizon,metric,value
x,teacher_forced,1,r2,0.994723379611969
x,recursive,1,r2,0.9947574734687805
x,teacher_forced,2,r2,0.9945275187492371
x,recursive,2,r2,0.9929882287979126
x,teacher_forced,3,r2,0.9946206212043762
x,recursive,3,r2,0.990266740322113
x,teacher_forced,4,r2,0.9954918622970581
x,recursive,4,r2,0.9887354373931885
x,teacher_forced,5,r2,0.9958205223083496
x,recursive,5,r2,0.9879082441329956
x,teacher_forced,6,r2,0.9958940148353577
x,recursive,6,r2,0.9848029613494873
x,teacher_forced,7,r2,0.9958822727203369
x,recursive,7,r2,0.9800742864608765
x,teacher_forced,8,r2,0.9949774742126465
x,recursive,8,r2,0.9747675657272339
x,teacher_forced,9,r2,0.9951026439666748
x,recursive,9,r2,0.9705399870872498
x,teacher_forced,10,r2,0.9951658248901367
x,recursive,10,r2,0.9633681774139404
x,teacher_forced,11,r2,0.995033860206604
x,recursive,11,r2,0.9561420679092407
x,teacher_forced,12,r2,0.9940459728240967
x,recursive,12,r2,0.946759045124054
x,teacher_forced,13,r2,0.995712161064148
x,recursive,13,r2,0.9376188516616821
x,teacher_forced,14,r2,0.9962013959884644
x,recursive,14,r2,0.9278311729431152
x,teacher_forced,15,r2,0.9964144229888916
x,recursive,15,r2,0.9142980575561523
x,teacher_forced,16,r2,0.9960713386535645
x,recursive,16,r2,0.8965693116188049
x,teacher_forced,17,r2,0.9964197278022766
x,recursive,17,r2,0.8761811852455139
x,teacher_forced,18,r2,0.9960319399833679
x,recursive,18,r2,0.855283260345459
x,teacher_forced,19,r2,0.996067225933075
x,recursive,19,r2,0.8311067223548889
x,teacher_forced,20,r2,0.9960675835609436
x,recursive,20,r2,0.7955718636512756
x,teacher_forced,21,r2,0.9959661960601807
x,recursive,21,r2,0.7604981064796448
x,teacher_forced,22,r2,0.995293915271759
x,recursive,22,r2,0.7359643578529358
x,teacher_forced,23,r2,0.9950438737869263
x,recursive,23,r2,0.717926025390625
x,teacher_forced,24,r2,0.994889497756958
x,recursive,24,r2,0.6848960518836975
y,teacher_forced,1,r2,0.9939579367637634
y,recursive,1,r2,0.9926120638847351
y,teacher_forced,2,r2,0.9929977655410767
y,recursive,2,r2,0.9899250268936157
y,teacher_forced,3,r2,0.9930269718170166
y,recursive,3,r2,0.9871416091918945
y,teacher_forced,4,r2,0.9942600727081299
y,recursive,4,r2,0.9862794280052185
y,teacher_forced,5,r2,0.9944109916687012
y,recursive,5,r2,0.9853752851486206
y,teacher_forced,6,r2,0.9948397874832153
y,recursive,6,r2,0.9825291633605957
y,teacher_forced,7,r2,0.9947220087051392
y,recursive,7,r2,0.9782414436340332
y,teacher_forced,8,r2,0.9939660429954529
y,recursive,8,r2,0.9733553528785706
y,teacher_forced,9,r2,0.9946684837341309
y,recursive,9,r2,0.9665900468826294
y,teacher_forced,10,r2,0.9941971302032471
y,recursive,10,r2,0.960090160369873
y,teacher_forced,11,r2,0.9941359758377075
y,recursive,11,r2,0.9512618780136108
y,teacher_forced,12,r2,0.994699239730835
y,recursive,12,r2,0.9390807151794434
y,teacher_forced,13,r2,0.9941948652267456
y,recursive,13,r2,0.9184309244155884
y,teacher_forced,14,r2,0.9952492117881775
y,recursive,14,r2,0.8971120715141296
y,teacher_forced,15,r2,0.9947102069854736
y,recursive,15,r2,0.8754270672798157
y,teacher_forced,16,r2,0.9949489831924438
y,recursive,16,r2,0.8503656387329102
y,teacher_forced,17,r2,0.9937669634819031
y,recursive,17,r2,0.8335336446762085
y,teacher_forced,18,r2,0.9937430620193481
y,recursive,18,r2,0.8169071674346924
y,teacher_forced,19,r2,0.9939475059509277
y,recursive,19,r2,0.7861099243164062
y,teacher_forced,20,r2,0.9938210844993591
y,recursive,20,r2,0.7487854361534119
y,teacher_forced,21,r2,0.9938796162605286
y,recursive,21,r2,0.7135869264602661
y,teacher_forced,22,r2,0.9943954348564148
y,recursive,22,r2,0.6824517846107483
y,teacher_forced,23,r2,0.9950615167617798
y,recursive,23,r2,0.6628907918930054
y,teacher_forced,24,r2,0.9948744177818298
y,recursive,24,r2,0.6581756472587585
z,teacher_forced,1,r2,0.9874020218849182
z,recursive,1,r2,0.985783576965332
z,teacher_forced,2,r2,0.9883657693862915
z,recursive,2,r2,0.9774001240730286
z,teacher_forced,3,r2,0.9882291555404663
z,recursive,3,r2,0.9652291536331177
z,teacher_forced,4,r2,0.9883217215538025
z,recursive,4,r2,0.9521351456642151
z,teacher_forced,5,r2,0.9873389601707458
z,recursive,5,r2,0.9307968616485596
z,teacher_forced,6,r2,0.9877791404724121
z,recursive,6,r2,0.9038249850273132
z,teacher_forced,7,r2,0.9879319667816162
z,recursive,7,r2,0.8746052980422974
z,teacher_forced,8,r2,0.9882132411003113
z,recursive,8,r2,0.8428211808204651
z,teacher_forced,9,r2,0.9873325824737549
z,recursive,9,r2,0.7989255785942078
z,teacher_forced,10,r2,0.9870012402534485
z,recursive,10,r2,0.7496510744094849
z,teacher_forced,11,r2,0.9872432351112366
z,recursive,11,r2,0.7030003666877747
z,teacher_forced,12,r2,0.987085223197937
z,recursive,12,r2,0.6505514979362488
z,teacher_forced,13,r2,0.9874756932258606
z,recursive,13,r2,0.572265088558197
z,teacher_forced,14,r2,0.9889990091323853
z,recursive,14,r2,0.5076416730880737
z,teacher_forced,15,r2,0.9879587292671204
z,recursive,15,r2,0.400831937789917
z,teacher_forced,16,r2,0.9878098964691162
z,recursive,16,r2,0.2750459313392639
z,teacher_forced,17,r2,0.9877682328224182
z,recursive,17,r2,0.18777406215667725
z,teacher_forced,18,r2,0.9867214560508728
z,recursive,18,r2,0.14578312635421753
z,teacher_forced,19,r2,0.9875048398971558
z,recursive,19,r2,0.09925127029418945
z,teacher_forced,20,r2,0.9868699908256531
z,recursive,20,r2,0.058924078941345215
z,teacher_forced,21,r2,0.987668514251709
z,recursive,21,r2,0.023404181003570557
z,teacher_forced,22,r2,0.9878137111663818
z,recursive,22,r2,-0.04338717460632324
z,teacher_forced,23,r2,0.988006055355072
z,recursive,23,r2,-0.10053801536560059
z,teacher_forced,24,r2,0.9879117608070374
z,recursive,24,r2,-0.16740691661834717
sin,teacher_forced,1,r2,0.6164790391921997
sin,recursive,1,r2,0.5759265422821045
sin,teacher_forced,2,r2,0.6127619743347168
sin,recursive,2,r2,0.5384830236434937
sin,teacher_forced,3,r2,0.6406263113021851
sin,recursive,3,r2,0.4969925880432129
sin,teacher_forced,4,r2,0.622085452079773
sin,recursive,4,r2,0.4439842700958252
sin,teacher_forced,5,r2,0.6399804353713989
sin,recursive,5,r2,0.4048594832420349
sin,teacher_forced,6,r2,0.6475653648376465
sin,recursive,6,r2,0.3664700984954834
sin,teacher_forced,7,r2,0.6202882528305054
sin,recursive,7,r2,0.32381224632263184
sin,teacher_forced,8,r2,0.6076897382736206
sin,recursive,8,r2,0.26577872037887573
sin,teacher_forced,9,r2,0.612688422203064
sin,recursive,9,r2,0.19872570037841797
sin,teacher_forced,10,r2,0.6089364290237427
sin,recursive,10,r2,0.15621429681777954
sin,teacher_forced,11,r2,0.6193398237228394
sin,recursive,11,r2,0.14169752597808838
sin,teacher_forced,12,r2,0.6394983530044556
sin,recursive,12,r2,0.1373593807220459
sin,teacher_forced,13,r2,0.6441928148269653
sin,recursive,13,r2,0.11025571823120117
sin,teacher_forced,14,r2,0.6244394183158875
sin,recursive,14,r2,0.06368553638458252
sin,teacher_forced,15,r2,0.6294939517974854
sin,recursive,15,r2,-0.010910987854003906
sin,teacher_forced,16,r2,0.6575509309768677
sin,recursive,16,r2,-0.07529628276824951
sin,teacher_forced,17,r2,0.673945426940918
sin,recursive,17,r2,-0.09665429592132568
sin,teacher_forced,18,r2,0.6526266932487488
sin,recursive,18,r2,-0.10110867023468018
sin,teacher_forced,19,r2,0.6740358471870422
sin,recursive,19,r2,-0.12240231037139893
sin,teacher_forced,20,r2,0.6773364543914795
sin,recursive,20,r2,-0.1826915740966797
sin,teacher_forced,21,r2,0.6709592342376709
sin,recursive,21,r2,-0.24022173881530762
sin,teacher_forced,22,r2,0.644781231880188
sin,recursive,22,r2,-0.25443291664123535
sin,teacher_forced,23,r2,0.607607364654541
sin,recursive,23,r2,-0.29066622257232666
sin,teacher_forced,24,r2,0.5976833701133728
sin,recursive,24,r2,-0.3629176616668701
cos,teacher_forced,1,r2,0.6004258990287781
cos,recursive,1,r2,0.5489488244056702
cos,teacher_forced,2,r2,0.5737439393997192
cos,recursive,2,r2,0.49649375677108765
cos,teacher_forced,3,r2,0.5622298121452332
cos,recursive,3,r2,0.42091894149780273
cos,teacher_forced,4,r2,0.5758092403411865
cos,recursive,4,r2,0.3719233274459839
cos,teacher_forced,5,r2,0.6058008670806885
cos,recursive,5,r2,0.3667713403701782
cos,teacher_forced,6,r2,0.6174484491348267
cos,recursive,6,r2,0.3130417466163635
cos,teacher_forced,7,r2,0.608174204826355
cos,recursive,7,r2,0.28445953130722046
cos,teacher_forced,8,r2,0.6330175399780273
cos,recursive,8,r2,0.2687646150588989
cos,teacher_forced,9,r2,0.6174284219741821
cos,recursive,9,r2,0.19314974546432495
cos,teacher_forced,10,r2,0.5865265727043152
