tag,first,latest,last_step,count
Online val. acc. (digit),0.0979374498128891,0.42231252789497375,16276,14
Online val. acc. (color),0.14274998009204865,0.997563362121582,16276,14
Online val. acc. (rotation_direction),0.47349992394447327,0.9692498445510864,16276,14
Online val. acc. (x-direction),0.43649622797966003,0.9317912459373474,16276,14
Online val. acc. (y-direction),0.2867167890071869,0.933554470539093,16276,14
Online val. acc. (z-direction),0.4783281087875366,0.8966407775878906,16276,14
Online val. acc. (x-position (discr)),0.0324101448059082,0.4955783188343048,16276,14
Online val. acc. (y-position (discr)),0.03353514149785042,0.5026696920394897,16276,14
Online val. acc. (z-position (discr)),0.05601369962096214,0.3033261299133301,16276,14
Online val. acc. (orientation),0.02761719562113285,0.09401758015155792,16276,14
Regression val. R2 (speed),-7.654430389404297,0.9510143399238586,16276,14
Regression val. R2 (rotation_speed),-3.1902945041656494,0.2696937024593353,16276,14
Regression val. R2 (x-position),-0.13877041637897491,0.9911598563194275,16276,14
Regression val. R2 (y-position),-0.15484926104545593,0.9914682507514954,16276,14
Regression val. R2 (z-position),-3.8787648677825928,0.9146149158477783,16276,14
Regression val. R2 (x-velocity),-0.10196051001548767,0.8677826523780823,16276,14
Regression val. R2 (y-velocity),-0.1085522323846817,0.8632588386535645,16276,14
Regression val. R2 (z-velocity),-0.13065080344676971,0.724875807762146,16276,14
Regression val. R2 (sin),-0.04057949036359787,0.020130647346377373,16276,14
Regression val. R2 (cos),-0.1496996432542801,0.020916977897286415,16276,14
Val. loss,0.5224294662475586,0.0011003816034644842,16276,14
Train loss,0.5212534070014954,0.0011856782948598266,16494,16467
Part. ratio ctx. (val.),197.107177734375,14.245847702026367,16277,14
Context norm,6.383047103881836,2.4523630142211914,16494,16467
Act. norm,63.79405212402344,11.286314010620117,16494,16467
Timing/samples_per_sec,35.00896453857422,701.7300415039062,16494,16467
